,Balcony,Brick,Dist,Floor,Kitchen_Area,Living_Area,Metro_Dist,NFloors,New,Price,Rooms,Tel,Total_Area,Walk
324,0.0,1.0,0.003424318720999923,4.0,NaN,15.0,6.0,4.0,1.0,6258687.0,1,NaN,25.5,1.0
325,0.0,1.0,0.003424318720999923,3.0,29.5,NaN,5.0,4.0,1.0,6325576.0,1,NaN,29.5,1.0
326,0.0,1.0,0.003424318720999923,3.0,NaN,17.0,6.0,4.0,1.0,6325576.0,1,NaN,30.0,1.0
327,0.0,1.0,0.003464304040000207,3.0,NaN,29.5,5.0,6.0,0.0,6325576.0,1,1,29.5,1.0
328,1.0,0.0,0.0100053463119993,2.0,10.0,18.0,10.0,12.0,0.0,6400000.0,1,1,34.0,1.0
329,0.0,0.0,0.003424318720999923,3.0,NaN,33.4,6.0,NaN,1.0,6437035.0,1,NaN,33.4,1.0
330,0.0,1.0,0.003424318720999923,3.0,NaN,18.0,6.0,4.0,1.0,6437035.0,1,NaN,33.5,1.0
331,0.0,1.0,0.003424318720999923,4.0,NaN,16.0,6.0,4.0,1.0,6449418.0,1,NaN,28.5,1.0
332,1.0,1.0,0.004265930408000018,5.0,5.6,18.6,10.0,5.0,0.0,6500000.0,1,1,30.7,1.0
333,0.0,1.0,0.009361539434000329,2.0,6.0,20.5,11.0,5.0,0.0,6500000.0,1,1,36.8,1.0
334,1.0,1.0,0.003829077784999889,5.0,5.6,20.2,5.0,9.0,0.0,6600000.0,1,NaN,33.1,1.0
335,1.0,1.0,0.003829077784999889,5.0,6.0,18.0,5.0,9.0,0.0,6600000.0,2,NaN,33.1,1.0
336,0.0,1.0,0.003424318720999923,3.0,NaN,NaN,9.0,6.0,1.0,8628726.0,2,NaN,50.0,1.0
337,1.0,1.0,0.002496481075999818,10.0,18.5,34.0,5.0,13.0,0.0,49600000.0,3,1,84.0,1.0
338,0.0,1.0,0.0002647883450001071,4.0,8.0,43.9,5.0,6.0,1.0,39352000.0,2,NaN,70.0,1.0
339,0.0,1.0,0.003424318720999923,2.0,NaN,10.0,6.0,5.0,1.0,4814581.0,1,NaN,17.3,1.0
340,0.0,1.0,0.0034749054169998816,2.0,NaN,17.3,5.0,6.0,0.0,4814581.0,1,1,17.3,1.0
341,0.0,0.0,0.0034276795930003575,1.0,7.0,20.0,4.0,9.0,0.0,5300000.0,1,1,32.0,1.0
342,0.0,0.0,0.003424318720999923,5.0,NaN,18.3,6.0,NaN,1.0,5377566.0,1,NaN,18.3,1.0
343,0.0,1.0,0.003424318720999923,5.0,NaN,10.0,6.0,5.0,1.0,5377566.0,1,NaN,18.3,1.0
344,0.0,1.0,0.0034749054169998816,2.0,NaN,23.7,5.0,6.0,0.0,5496232.0,1,1,23.7,1.0
345,1.0,0.0,0.005539907825000261,1.0,9.6,20.0,10.0,1.0,0.0,5550000.0,1,NaN,37.4,1.0
346,1.0,1.0,0.009283241028999375,3.0,6.0,16.0,NaN,5.0,0.0,5900000.0,1,1,30.0,0.0
347,0.0,0.0,0.009162976656999566,1.0,10.0,20.0,13.0,12.0,0.0,6000000.0,1,NaN,35.0,1.0
348,1.0,1.0,0.003615283701000061,12.0,9.6,20.1,10.0,12.0,0.0,6000000.0,1,1,35.1,0.0
349,1.0,1.0,0.003955642860999678,2.0,8.0,21.0,12.0,5.0,0.0,6100000.0,1,1,34.0,1.0
350,1.0,0.0,0.003615283701000061,12.0,10.0,20.0,10.0,12.0,0.0,6100000.0,1,1,36.0,1.0
351,0.0,0.0,0.003424318720999923,4.0,NaN,25.5,6.0,NaN,1.0,6258687.0,1,NaN,25.5,1.0
352,0.0,1.0,0.003424318720999923,4.0,NaN,15.0,6.0,4.0,1.0,6258687.0,1,NaN,25.5,1.0
353,0.0,1.0,0.003424318720999923,3.0,29.5,NaN,5.0,4.0,1.0,6325576.0,1,NaN,29.5,1.0
354,0.0,1.0,0.003424318720999923,3.0,NaN,17.0,6.0,4.0,1.0,6325576.0,1,NaN,30.0,1.0
355,0.0,1.0,0.003464304040000207,3.0,NaN,29.5,5.0,6.0,0.0,6325576.0,1,1,29.5,1.0
356,1.0,0.0,0.0100053463119993,2.0,10.0,18.0,10.0,12.0,0.0,6400000.0,1,1,34.0,1.0
357,0.0,0.0,0.003424318720999923,3.0,NaN,33.4,6.0,NaN,1.0,6437035.0,1,NaN,33.4,1.0
358,0.0,1.0,0.003424318720999923,3.0,NaN,18.0,6.0,4.0,1.0,6437035.0,1,NaN,33.5,1.0
359,0.0,1.0,0.003424318720999923,4.0,NaN,16.0,6.0,4.0,1.0,6449418.0,1,NaN,28.5,1.0
360,1.0,1.0,0.004265930408000018,5.0,5.6,18.6,10.0,5.0,0.0,6500000.0,1,1,30.7,1.0
361,0.0,1.0,0.009361539434000329,2.0,6.0,20.5,11.0,5.0,0.0,6500000.0,1,1,36.8,1.0
362,1.0,1.0,0.003829077784999889,5.0,5.6,20.2,5.0,9.0,0.0,6600000.0,1,NaN,33.1,1.0
363,1.0,1.0,0.003829077784999889,5.0,6.0,18.0,5.0,9.0,0.0,6600000.0,2,NaN,33.1,1.0
364,1.0,0.0,0.0014200671330000187,3.0,9.0,38.0,7.0,7.0,0.0,21800000.0,2,NaN,59.0,1.0
365,1.0,1.0,0.004855430097999784,15.0,12.0,34.0,10.0,17.0,0.0,14500000.0,2,1,64.0,1.0
